subject,domain,condition,condition_short,metric,value
p007,Tomato,C3: Ours1,C3,SAGAT1,0.5
p007,Tomato,C3: Ours1,C3,SAGAT2,1
p007,Tomato,C3: Ours1,C3,SAGAT3,0.5
p007,Tomato,C3: Ours1,C3,Fatigue,2
p007,Tomato,C3: Ours1,C3,NASA-RTLX,1
p007,Tomato,C3: Ours1,C3,SART,2.1
p008,Tomato,C3: Ours1,C3,조작성공률 (%),100
p008,Tomato,C3: Ours1,C3,조작시간 (s),20
p008,Tomato,C3: Ours1,C3,SAGAT1,0.5
p008,Tomato,C3: Ours1,C3,SAGAT2,0
p008,Tomato,C3: Ours1,C3,SAGAT3,1
p008,Tomato,C3: Ours1,C3,Fatigue,5
p008,Tomato,C3: Ours1,C3,NASA-RTLX,2.16667
p008,Tomato,C3: Ours1,C3,SART,3.4
p005,Waste,C4: Ours2,C4,조작성공률 (%),100
p005,Waste,C4: Ours2,C4,조작시간 (s),5
p005,Waste,C4: Ours2,C4,SAGAT1,1
p005,Waste,C4: Ours2,C4,SAGAT2,0
p005,Waste,C4: Ours2,C4,SAGAT3,0.5
p005,Waste,C4: Ours2,C4,Fatigue,2
p005,Waste,C4: Ours2,C4,NASA-RTLX,1.66667
p005,Waste,C4: Ours2,C4,SART,3.8
p006,Waste,C4: Ours2,C4,조작성공률 (%),100
p006,Waste,C4: Ours2,C4,조작시간 (s),18
p006,Waste,C4: Ours2,C4,SAGAT1,0.5
p006,Waste,C4: Ours2,C4,SAGAT2,0
p006,Waste,C4: Ours2,C4,SAGAT3,0.5
p006,Waste,C4: Ours2,C4,Fatigue,1
p006,Waste,C4: Ours2,C4,NASA-RTLX,1.16667
p006,Waste,C4: Ours2,C4,SART,1.8
p007,Waste,C4: Ours2,C4,조작성공률 (%),100
p007,Waste,C4: Ours2,C4,SAGAT1,0.5
p007,Waste,C4: Ours2,C4,SAGAT2,0
p007,Waste,C4: Ours2,C4,SAGAT3,0.5
p007,Waste,C4: Ours2,C4,Fatigue,2
p007,Waste,C4: Ours2,C4,NASA-RTLX,1
p007,Waste,C4: Ours2,C4,SART,2.2
p008,Waste,C4: Ours2,C4,조작성공률 (%),100
p008,Waste,C4: Ours2,C4,조작시간 (s),9
p008,Waste,C4: Ours2,C4,SAGAT1,0.5
p008,Waste,C4: Ours2,C4,SAGAT2,0
p008,Waste,C4: Ours2,C4,SAGAT3,1
p008,Waste,C4: Ours2,C4,Fatigue,1
p008,Waste,C4: Ours2,C4,NASA-RTLX,2
p008,Waste,C4: Ours2,C4,SART,3.7
p005,Tomato,C4: Ours2,C4,조작성공률 (%),0
p005,Tomato,C4: Ours2,C4,조작시간 (s),20
p005,Tomato,C4: Ours2,C4,SAGAT1,0.5
p005,Tomato,C4: Ours2,C4,SAGAT2,0.5
