figure,domain,metric,comparison,condition_a,condition_b,shown_on_figure,stars,test,n_complete_subjects,n_nonzero_pairs,W,p_raw,p_bonferroni,rank_biserial,mean_difference_a_minus_b,median_difference_a_minus_b,conditions_included
figures/tomato_sagat3.png,Tomato,SAGAT3,C1 vs C2,C1,C2,no,,Wilcoxon signed-rank exact,12,5,4.5,0.5625,1,-0.4,-0.3,-0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat3.png,Tomato,SAGAT3,C1 vs C3,C1,C3,no,,Wilcoxon signed-rank exact,12,6,6,0.53125,1,-0.428571,-0.25,-0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat3.png,Tomato,SAGAT3,C1 vs C4,C1,C4,no,,Wilcoxon signed-rank exact,12,7,3.5,0.109375,1,-0.75,-0.428571,-0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat3.png,Tomato,SAGAT3,C1 vs C5,C1,C5,no,,Wilcoxon signed-rank exact,12,9,18,0.78125,1,0.2,0.111111,0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat3.png,Tomato,SAGAT3,C2 vs C3,C2,C3,no,,Wilcoxon signed-rank exact,12,6,10.5,1,1,0,0,0,"C1,C2,C3,C4,C5"
figures/tomato_sagat3.png,Tomato,SAGAT3,C2 vs C4,C2,C4,no,,Wilcoxon signed-rank exact,12,4,2,0.5,1,-0.6,-0.375,-0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat3.png,Tomato,SAGAT3,C2 vs C5,C2,C5,no,,Wilcoxon signed-rank exact,12,9,10,0.179688,1,0.555556,0.277778,0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat3.png,Tomato,SAGAT3,C3 vs C4,C3,C4,no,,Wilcoxon signed-rank exact,12,3,0,0.25,1,-1,-0.5,-0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat3.png,Tomato,SAGAT3,C3 vs C5,C3,C5,no,,Wilcoxon signed-rank exact,12,7,4,0.125,1,0.714286,0.357143,0.5,"C1,C2,C3,C4,C5"
figures/tomato_sagat3.png,Tomato,SAGAT3,C4 vs C5,C4,C5,no,,Wilcoxon signed-rank exact,12,8,0,0.0078125,0.078125,1,0.5,0.5,"C1,C2,C3,C4,C5"
figures/tomato_fatigue.png,Tomato,Fatigue,C1 vs C2,C1,C2,no,,Wilcoxon signed-rank exact,12,5,1,0.125,1,0.866667,1.6,2,"C1,C2,C3,C4,C5"
figures/tomato_fatigue.png,Tomato,Fatigue,C1 vs C3,C1,C3,no,,Wilcoxon signed-rank exact,12,5,5,0.75,1,-0.333333,-0.4,-1,"C1,C2,C3,C4,C5"
figures/tomato_fatigue.png,Tomato,Fatigue,C1 vs C4,C1,C4,no,,Wilcoxon signed-rank exact,12,6,6,0.34375,1,0.428571,0.5,0.5,"C1,C2,C3,C4,C5"
figures/tomato_fatigue.png,Tomato,Fatigue,C1 vs C5,C1,C5,no,,Wilcoxon signed-rank exact,12,5,6,1,1,-0.2,-0.2,-1,"C1,C2,C3,C4,C5"
figures/tomato_fatigue.png,Tomato,Fatigue,C2 vs C3,C2,C3,no,,Wilcoxon signed-rank exact,12,7,2,0.0625,0.625,-0.857143,-1.42857,-2,"C1,C2,C3,C4,C5"
figures/tomato_fatigue.png,Tomato,Fatigue,C2 vs C4,C2,C4,no,,Wilcoxon signed-rank exact,12,4,0,0.125,1,-1,-1.25,-1,"C1,C2,C3,C4,C5"
