global_index,domain,scene,threshold,answer_type,noisy_oracle_error_rate,seed_mode,max_step
305,tomato,03,0.8,oracle,0.0,random,50
306,tomato,03,0.8,oracle,0.0,random,50
307,tomato,03,0.8,oracle,0.0,random,50
308,tomato,03,0.8,oracle,0.0,random,50
309,tomato,03,0.8,oracle,0.0,random,50
310,tomato,03,0.8,oracle,0.0,random,50
311,tomato,03,0.8,oracle,0.0,random,50
312,tomato,03,0.8,oracle,0.0,random,50
313,tomato,03,0.8,oracle,0.0,random,50
314,tomato,03,0.8,oracle,0.0,random,50
315,tomato,03,0.8,oracle,0.0,random,50
316,tomato,03,0.8,oracle,0.0,random,50
317,tomato,03,0.8,oracle,0.0,random,50
318,tomato,03,0.8,oracle,0.0,random,50
319,tomato,03,0.8,oracle,0.0,random,50
320,tomato,03,0.8,oracle,0.0,random,50
321,tomato,04,0.8,oracle,0.0,random,50
322,tomato,04,0.8,oracle,0.0,random,50
323,tomato,04,0.8,oracle,0.0,random,50
324,tomato,04,0.8,oracle,0.0,random,50
325,tomato,04,0.8,oracle,0.0,random,50
326,tomato,04,0.8,oracle,0.0,random,50
327,tomato,04,0.8,oracle,0.0,random,50
328,tomato,04,0.8,oracle,0.0,random,50
329,tomato,04,0.8,oracle,0.0,random,50
330,tomato,04,0.8,oracle,0.0,random,50
331,tomato,04,0.8,oracle,0.0,random,50
332,tomato,04,0.8,oracle,0.0,random,50
333,tomato,04,0.8,oracle,0.0,random,50
334,tomato,04,0.8,oracle,0.0,random,50
335,tomato,04,0.8,oracle,0.0,random,50
336,tomato,04,0.8,oracle,0.0,random,50
337,tomato,04,0.8,oracle,0.0,random,50
338,tomato,04,0.8,oracle,0.0,random,50
339,tomato,04,0.8,oracle,0.0,random,50
340,tomato,04,0.8,oracle,0.0,random,50
341,tomato,04,0.8,oracle,0.0,random,50
342,tomato,04,0.8,oracle,0.0,random,50
343,tomato,04,0.8,oracle,0.0,random,50
344,tomato,04,0.8,oracle,0.0,random,50
345,tomato,04,0.8,oracle,0.0,random,50
346,tomato,04,0.8,oracle,0.0,random,50
347,tomato,04,0.8,oracle,0.0,random,50
348,tomato,04,0.8,oracle,0.0,random,50
349,tomato,04,0.8,oracle,0.0,random,50
350,tomato,04,0.8,oracle,0.0,random,50
351,tomato,04,0.8,oracle,0.0,random,50
352,tomato,04,0.8,oracle,0.0,random,50
353,tomato,04,0.8,oracle,0.0,random,50
354,tomato,04,0.8,oracle,0.0,random,50
355,tomato,04,0.8,oracle,0.0,random,50
356,tomato,04,0.8,oracle,0.0,random,50
357,tomato,04,0.8,oracle,0.0,random,50
358,tomato,04,0.8,oracle,0.0,random,50
359,tomato,04,0.8,oracle,0.0,random,50
360,tomato,04,0.8,oracle,0.0,random,50
361,tomato,05,0.8,oracle,0.0,random,50
362,tomato,05,0.8,oracle,0.0,random,50
363,tomato,05,0.8,oracle,0.0,random,50
364,tomato,05,0.8,oracle,0.0,random,50
365,tomato,05,0.8,oracle,0.0,random,50
366,tomato,05,0.8,oracle,0.0,random,50
367,tomato,05,0.8,oracle,0.0,random,50
368,tomato,05,0.8,oracle,0.0,random,50
369,tomato,05,0.8,oracle,0.0,random,50
370,tomato,05,0.8,oracle,0.0,random,50
371,tomato,05,0.8,oracle,0.0,random,50
372,tomato,05,0.8,oracle,0.0,random,50
373,tomato,05,0.8,oracle,0.0,random,50
374,tomato,05,0.8,oracle,0.0,random,50
375,tomato,05,0.8,oracle,0.0,random,50
376,tomato,05,0.8,oracle,0.0,random,50
377,tomato,05,0.8,oracle,0.0,random,50
378,tomato,05,0.8,oracle,0.0,random,50
379,tomato,05,0.8,oracle,0.0,random,50
380,tomato,05,0.8,oracle,0.0,random,50
381,tomato,05,0.8,oracle,0.0,random,50
382,tomato,05,0.8,oracle,0.0,random,50
383,tomato,05,0.8,oracle,0.0,random,50
384,tomato,05,0.8,oracle,0.0,random,50
385,tomato,05,0.8,oracle,0.0,random,50
386,tomato,05,0.8,oracle,0.0,random,50
387,tomato,05,0.8,oracle,0.0,random,50
388,tomato,05,0.8,oracle,0.0,random,50
389,tomato,05,0.8,oracle,0.0,random,50
390,tomato,05,0.8,oracle,0.0,random,50
391,tomato,05,0.8,oracle,0.0,random,50
392,tomato,05,0.8,oracle,0.0,random,50
393,tomato,05,0.8,oracle,0.0,random,50
394,tomato,05,0.8,oracle,0.0,random,50
395,tomato,05,0.8,oracle,0.0,random,50
396,tomato,05,0.8,oracle,0.0,random,50
397,tomato,05,0.8,oracle,0.0,random,50
398,tomato,05,0.8,oracle,0.0,random,50
399,tomato,05,0.8,oracle,0.0,random,50
400,tomato,05,0.8,oracle,0.0,random,50
