domain,scene,file,timestamp,model,prompt_version,seed,qhat,success,stop_reason,planning_length,planning_iterations,question_count,autonomous_action_count,fallback_in_prediction_count,action_failure_count,average_candidate_count,average_candidate_count_when_asked,average_prediction_set_size,average_prediction_set_size_when_asked,total_elapsed_seconds,token_generation,token_scoring,token_overall
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_161457.txt,2026-06-16 16:14:57,gpt-4o,v2,2520139403,0.92,False,Dead-end: true plastic waste waste2 was placed into paper bin.,5,5,2,3,0,0,5.0,5.0,1.4,2.0,13.730419166997308,3891,1183,5074
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_161516.txt,2026-06-16 16:15:16,gpt-4o,v2,1839475958,0.92,True,success,10,10,3,7,0,0,5.0,5.0,1.3,2.0,22.870870373008074,7837,2421,10258
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260617_133944.txt,2026-06-17 13:39:44,gpt-4o,v2,2273663597,0.92,True,success,10,10,2,8,0,0,5.0,5.0,1.2,2.0,22.86130266499822,7866,2449,10315
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260617_134012.txt,2026-06-17 13:40:12,gpt-4o,v2,2615417519,0.92,False,Dead-end: true plastic waste waste1 was placed into paper bin.,3,3,0,3,0,0,5.0,0.0,1.0,0.0,4.707655864971457,2304,680,2984
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260617_134021.txt,2026-06-17 13:40:21,gpt-4o,v2,3070700418,0.92,True,success,11,11,3,8,0,0,5.0,5.0,1.2727272727272727,2.0,29.43288619501982,8624,2665,11289
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260617_134053.txt,2026-06-17 13:40:53,gpt-4o,v2,4108898360,0.92,True,success,10,10,2,8,0,0,5.0,5.0,1.2,2.0,19.072409501008224,7868,2450,10318
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260617_134115.txt,2026-06-17 13:41:15,gpt-4o,v2,2542151057,0.92,True,success,10,10,0,10,0,0,5.0,0.0,1.0,0.0,16.136671389016556,7824,2407,10231
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260617_134135.txt,2026-06-17 13:41:35,gpt-4o,v2,466930941,0.92,False,Dead-end: true paper waste waste3 was placed into plastic bin.,7,7,1,6,0,0,5.0,5.0,1.1428571428571428,2.0,14.351626117975684,5497,1705,7202
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_154721.txt,2026-06-16 15:47:21,gpt-4o,v2,1067492244,0.92,False,Dead-end: true general waste waste4 was placed into paper bin.,8,8,3,5,0,0,5.0,5.0,1.375,2.0,22.91300503499224,6271,1939,8210
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_154749.txt,2026-06-16 15:47:49,gpt-4o,v2,3894058039,0.92,False,Dead-end: true paper waste waste1 was placed into plastic bin.,3,3,1,2,0,0,5.0,5.0,1.3333333333333333,2.0,6.8875660540070385,2352,728,3080
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_154800.txt,2026-06-16 15:48:00,gpt-4o,v2,2751811420,0.92,True,success,10,10,1,9,0,0,5.0,5.0,1.1,2.0,16.627409317996353,7890,2476,10366
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_154820.txt,2026-06-16 15:48:20,gpt-4o,v2,2818935149,0.92,True,success,10,10,1,9,0,0,5.0,5.0,1.1,2.0,34.92629583099915,7890,2476,10366
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_154912.txt,2026-06-16 15:49:12,gpt-4o,v2,3945513,0.92,False,invalid place without held object,1,2,1,1,0,0,5.0,5.0,1.5,2.0,5.645330097002443,1551,469,2020
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_154928.txt,2026-06-16 15:49:28,gpt-4o,v2,2980769940,0.92,False,Dead-end: true paper waste waste2 was placed into plastic bin.,5,5,1,4,0,0,5.0,5.0,1.2,2.0,11.307937001998653,3919,1211,5130
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_154944.txt,2026-06-16 15:49:44,gpt-4o,v2,1348325612,0.92,True,success,11,11,5,6,0,0,5.0,5.0,1.5454545454545454,2.2,47.67282450401399,8706,2748,11454
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_155035.txt,2026-06-16 15:50:35,gpt-4o,v2,2123527202,0.92,True,success,10,10,1,9,0,0,5.0,5.0,1.1,2.0,20.19206523000321,7888,2473,10361
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_155100.txt,2026-06-16 15:51:00,gpt-4o,v2,1487226623,0.92,False,Dead-end: true general waste waste4 was placed into paper bin.,8,8,3,5,0,0,5.0,5.0,1.5,2.3333333333333335,31.687314394002897,6273,1942,8215
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_155136.txt,2026-06-16 15:51:36,gpt-4o,v2,3842827448,0.92,True,success,10,10,2,8,0,0,5.0,5.0,1.2,2.0,20.342236719006905,7893,2479,10372
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_162046.txt,2026-06-16 16:20:46,gpt-4o,v2,3873355539,0.92,False,Dead-end: true general waste waste4 was placed into can bin.,11,11,4,7,0,0,5.0,5.0,1.3636363636363635,2.0,27.679591740001342,8694,2737,11431
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_162119.txt,2026-06-16 16:21:19,gpt-4o,v2,1368110452,0.92,False,Dead-end: true paper waste waste1 was placed into general bin.,3,3,1,2,0,0,5.0,5.0,1.3333333333333333,2.0,7.867984801006969,2352,728,3080
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_162130.txt,2026-06-16 16:21:30,gpt-4o,v2,1025915353,0.92,False,Dead-end: true paper waste waste2 was placed into plastic bin.,5,5,1,4,0,0,5.0,5.0,1.2,2.0,13.666882293997332,3922,1214,5136
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_162149.txt,2026-06-16 16:21:49,gpt-4o,v2,2338547066,0.92,True,success,11,11,4,7,1,0,5.0,5.0,1.6363636363636365,2.75,42.98600925099163,8713,2753,11466
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_162236.txt,2026-06-16 16:22:36,gpt-4o,v2,3737712382,0.92,True,success,10,10,2,8,0,0,5.0,5.0,1.2,2.0,21.523322881999775,7897,2480,10377
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_162301.txt,2026-06-16 16:23:01,gpt-4o,v2,556453259,0.92,False,Dead-end: true paper waste waste2 was placed into plastic bin.,3,3,1,2,0,0,5.0,5.0,1.3333333333333333,2.0,7.911678716001916,2342,718,3060
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_162421.txt,2026-06-16 16:24:21,gpt-4o,v2,435289300,0.92,False,Dead-end: true can waste waste3 was placed into general bin.,8,8,1,7,0,0,5.0,5.0,1.125,2.0,15.939400399001897,6283,1952,8235
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_162442.txt,2026-06-16 16:24:42,gpt-4o,v2,50177965,0.92,True,success,10,10,1,9,0,0,5.0,5.0,1.1,2.0,18.745917558000656,7891,2476,10367
