domain,condition,scene,iteration,seed,threshold,random_query_prob
tomato,ours-what-only,3,31,1016817503,0.8,0.4
tomato,ours,3,31,1016817503,0.8,0.4
tomato,random,3,32,4252591664,0.8,0.4
tomato,ours-when-only,3,32,4252591664,0.8,0.4
tomato,ours-what-only,3,32,4252591664,0.8,0.4
tomato,ours,3,32,4252591664,0.8,0.4
tomato,random,3,33,2630779126,0.8,0.4
tomato,ours-when-only,3,33,2630779126,0.8,0.4
tomato,ours-what-only,3,33,2630779126,0.8,0.4
tomato,ours,3,33,2630779126,0.8,0.4
tomato,random,3,34,822900858,0.8,0.4
tomato,ours-when-only,3,34,822900858,0.8,0.4
tomato,ours-what-only,3,34,822900858,0.8,0.4
tomato,ours,3,34,822900858,0.8,0.4
tomato,random,3,35,604486275,0.8,0.4
tomato,ours-when-only,3,35,604486275,0.8,0.4
tomato,ours-what-only,3,35,604486275,0.8,0.4
tomato,ours,3,35,604486275,0.8,0.4
tomato,random,3,36,522031486,0.8,0.4
tomato,ours-when-only,3,36,522031486,0.8,0.4
tomato,ours-what-only,3,36,522031486,0.8,0.4
tomato,ours,3,36,522031486,0.8,0.4
tomato,random,3,37,2184183196,0.8,0.4
tomato,ours-when-only,3,37,2184183196,0.8,0.4
tomato,ours-what-only,3,37,2184183196,0.8,0.4
tomato,ours,3,37,2184183196,0.8,0.4
tomato,random,3,38,2418572032,0.8,0.4
tomato,ours-when-only,3,38,2418572032,0.8,0.4
tomato,ours-what-only,3,38,2418572032,0.8,0.4
tomato,ours,3,38,2418572032,0.8,0.4
tomato,random,3,39,2436888965,0.8,0.4
tomato,ours-when-only,3,39,2436888965,0.8,0.4
tomato,ours-what-only,3,39,2436888965,0.8,0.4
tomato,ours,3,39,2436888965,0.8,0.4
tomato,random,3,40,598183825,0.8,0.4
tomato,ours-when-only,3,40,598183825,0.8,0.4
tomato,ours-what-only,3,40,598183825,0.8,0.4
tomato,ours,3,40,598183825,0.8,0.4
tomato,random,4,1,1589093347,0.8,0.4
tomato,ours-when-only,4,1,1589093347,0.8,0.4
tomato,ours-what-only,4,1,1589093347,0.8,0.4
tomato,ours,4,1,1589093347,0.8,0.4
tomato,random,4,2,712937450,0.8,0.4
tomato,ours-when-only,4,2,712937450,0.8,0.4
tomato,ours-what-only,4,2,712937450,0.8,0.4
tomato,ours,4,2,712937450,0.8,0.4
tomato,random,4,3,3614412854,0.8,0.4
tomato,ours-when-only,4,3,3614412854,0.8,0.4
tomato,ours-what-only,4,3,3614412854,0.8,0.4
tomato,ours,4,3,3614412854,0.8,0.4
tomato,random,4,4,2390740933,0.8,0.4
tomato,ours-when-only,4,4,2390740933,0.8,0.4
tomato,ours-what-only,4,4,2390740933,0.8,0.4
tomato,ours,4,4,2390740933,0.8,0.4
tomato,random,4,5,2642505031,0.8,0.4
tomato,ours-when-only,4,5,2642505031,0.8,0.4
tomato,ours-what-only,4,5,2642505031,0.8,0.4
tomato,ours,4,5,2642505031,0.8,0.4
tomato,random,4,6,442300768,0.8,0.4
tomato,ours-when-only,4,6,442300768,0.8,0.4
tomato,ours-what-only,4,6,442300768,0.8,0.4
tomato,ours,4,6,442300768,0.8,0.4
tomato,random,4,7,3661502133,0.8,0.4
tomato,ours-when-only,4,7,3661502133,0.8,0.4
tomato,ours-what-only,4,7,3661502133,0.8,0.4
tomato,ours,4,7,3661502133,0.8,0.4
tomato,random,4,8,236854069,0.8,0.4
tomato,ours-when-only,4,8,236854069,0.8,0.4
tomato,ours-what-only,4,8,236854069,0.8,0.4
tomato,ours,4,8,236854069,0.8,0.4
tomato,random,4,9,2387734993,0.8,0.4
tomato,ours-when-only,4,9,2387734993,0.8,0.4
