figure,metric,metric_label,condition,condition_label,domain,domain_label,n,mean,min,max,std,plotted_value
policy_compare_total_average_reward_success_only,average_reward_success_only,Average Reward,no,No,waste,Waste,27,18.333333,5.000000,30.000000,5.547002,18.333333
policy_compare_total_average_reward_success_only,average_reward_success_only,Average Reward,no,No,tomato,Tomato,3,8.333333,5.000000,10.000000,2.886751,8.333333
policy_compare_total_average_reward_success_only,average_reward_success_only,Average Reward,random,Random,waste,Waste,180,18.111111,0.000000,30.000000,6.279246,18.111111
policy_compare_total_average_reward_success_only,average_reward_success_only,Average Reward,random,Random,tomato,Tomato,20,5.250000,0.000000,10.000000,4.127890,5.250000
policy_compare_total_average_reward_success_only,average_reward_success_only,Average Reward,knowno_gpt4,KnowNo,waste,Waste,0,,,,,
policy_compare_total_average_reward_success_only,average_reward_success_only,Average Reward,knowno_gpt4,KnowNo,tomato,Tomato,0,,,,,
policy_compare_total_average_reward_success_only,average_reward_success_only,Average Reward,ours,Ours,waste,Waste,183,14.617486,0.000000,30.000000,7.800121,14.617486
policy_compare_total_average_reward_success_only,average_reward_success_only,Average Reward,ours,Ours,tomato,Tomato,169,8.136095,0.000000,15.000000,4.523661,8.136095
policy_compare_total_average_reward_failure_only,average_reward_failure_only,Average Reward,all,All,waste,Waste,5,3.000000,0.000000,5.000000,2.738613,3.000000
policy_compare_total_average_reward_failure_only,average_reward_failure_only,Average Reward,all,All,tomato,Tomato,37,3.918919,0.000000,15.000000,3.561978,3.918919
policy_compare_total_average_reward_failure_only,average_reward_failure_only,Average Reward,no,No,waste,Waste,173,0.289017,0.000000,10.000000,1.396734,0.289017
policy_compare_total_average_reward_failure_only,average_reward_failure_only,Average Reward,no,No,tomato,Tomato,197,1.954315,0.000000,20.000000,3.329360,1.954315
policy_compare_total_average_reward_failure_only,average_reward_failure_only,Average Reward,random,Random,waste,Waste,20,5.750000,0.000000,15.000000,4.375470,5.750000
policy_compare_total_average_reward_failure_only,average_reward_failure_only,Average Reward,random,Random,tomato,Tomato,180,2.472222,0.000000,10.000000,3.012878,2.472222
policy_compare_total_average_reward_failure_only,average_reward_failure_only,Average Reward,knowno_gpt4,KnowNo,waste,Waste,0,,,,,
policy_compare_total_average_reward_failure_only,average_reward_failure_only,Average Reward,knowno_gpt4,KnowNo,tomato,Tomato,0,,,,,
policy_compare_total_average_reward_failure_only,average_reward_failure_only,Average Reward,ours,Ours,waste,Waste,17,2.058824,0.000000,10.000000,3.091735,2.058824
policy_compare_total_average_reward_failure_only,average_reward_failure_only,Average Reward,ours,Ours,tomato,Tomato,31,3.548387,0.000000,10.000000,3.914407,3.548387
policy_compare_total_elapsed_time,elapsed_time,Elapsed Time,all,All,waste,Waste,200,5.592136,1.518000,12.463500,1.296955,5.592136
