domain,scene,file,timestamp,model,prompt_version,seed,qhat,success,stop_reason,planning_length,planning_iterations,question_count,autonomous_action_count,fallback_in_prediction_count,action_failure_count,average_candidate_count,average_candidate_count_when_asked,average_prediction_set_size,average_prediction_set_size_when_asked,total_elapsed_seconds,token_generation,token_scoring,token_overall
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_164657.txt,2026-06-16 16:46:57,gpt-4o,v2,3760647748,0.92,True,success,13,13,3,10,0,0,5.0,5.0,1.2307692307692308,2.0,34.77613555500284,26948,5797,32745
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_164735.txt,2026-06-16 16:47:35,gpt-4o,v2,1597702644,0.92,False,Dead-end: true ripe tomato tomato3 was discarded.,15,15,4,11,0,1,5.0,5.0,1.3333333333333333,2.25,39.267327466004645,31231,6829,38060
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_164817.txt,2026-06-16 16:48:17,gpt-4o,v2,2690510558,0.92,False,invalid pick tomato not observed here: tomato2,6,7,1,6,0,0,5.0,5.0,1.2857142857142858,3.0,18.7876729730051,14376,2989,17365
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_164840.txt,2026-06-16 16:48:40,gpt-4o,v2,2217436752,0.92,True,success,13,13,3,10,0,0,5.0,5.0,1.3076923076923077,2.3333333333333335,37.68219435600622,26939,5789,32728
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_164923.txt,2026-06-16 16:49:23,gpt-4o,v2,269084402,0.92,False,invalid pick tomato not observed here: tomato3,10,11,2,9,0,0,5.0,5.0,1.2727272727272727,2.5,27.674592295996263,22728,4832,27560
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_164954.txt,2026-06-16 16:49:54,gpt-4o,v2,3193933176,0.92,True,success,14,14,3,11,1,1,5.0,5.0,1.4285714285714286,3.0,38.9171164319996,29085,6308,35393
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_165035.txt,2026-06-16 16:50:35,gpt-4o,v2,1498411678,0.92,True,success,13,13,2,11,0,0,5.0,5.0,1.2307692307692308,2.5,35.13962012800039,26941,5790,32731
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_165112.txt,2026-06-16 16:51:12,gpt-4o,v2,3915363431,0.92,False,Dead-end: true ripe tomato tomato2 was discarded.,8,8,1,7,0,0,5.0,5.0,1.125,2.0,14.901175905004493,16453,3437,19890
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_165130.txt,2026-06-16 16:51:30,gpt-4o,v2,881064666,0.92,True,success,14,14,2,12,0,1,5.0,5.0,1.2142857142857142,2.5,33.805822465001256,29084,6306,35390
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_165206.txt,2026-06-16 16:52:06,gpt-4o,v2,1582842291,0.92,False,invalid pick tomato not observed here: tomato2,6,7,1,6,0,0,5.0,5.0,1.1428571428571428,2.0,21.55653243699635,14375,2988,17363
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_165231.txt,2026-06-16 16:52:31,gpt-4o,v2,1686384502,0.92,False,Dead-end: true rotten tomato tomato1 was loaded.,9,9,2,7,0,0,5.0,5.0,1.2222222222222223,2.0,28.73033784200379,18543,3900,22443
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_165302.txt,2026-06-16 16:53:02,gpt-4o,v2,432116250,0.92,True,success,13,13,2,11,0,0,5.0,5.0,1.2307692307692308,2.5,28.029781378994812,26943,5794,32737
tomato,scene_04,scripts/baseline/logs/tomato/scene_04/knowno_tomato_20260616_165344.txt,2026-06-16 16:53:44,gpt-4o,v2,3479193447,0.92,False,Dead-end: true rotten tomato tomato1 was loaded.,5,5,0,5,0,0,5.0,0.0,1.0,0.0,7.584341217996553,10245,2110,12355
tomato,scene_05,scripts/baseline/logs/tomato/scene_05/knowno_tomato_20260616_165359.txt,2026-06-16 16:53:59,gpt-4o,v2,3705712918,0.92,True,success,14,14,3,11,1,0,5.0,5.0,1.4285714285714286,3.0,33.44366804900346,29096,6321,35417
tomato,scene_05,scripts/baseline/logs/tomato/scene_05/knowno_tomato_20260616_165437.txt,2026-06-16 16:54:37,gpt-4o,v2,886814311,0.92,True,success,13,13,4,9,1,0,5.0,5.0,1.5384615384615385,2.75,31.076215684995987,26971,5821,32792
tomato,scene_05,scripts/baseline/logs/tomato/scene_05/knowno_tomato_20260616_165510.txt,2026-06-16 16:55:10,gpt-4o,v2,2225868704,0.92,False,Dead-end: true rotten tomato tomato1 was loaded.,5,5,0,5,0,0,5.0,0.0,1.0,0.0,8.55652236599417,10235,2101,12336
tomato,scene_05,scripts/baseline/logs/tomato/scene_05/knowno_tomato_20260616_165521.txt,2026-06-16 16:55:21,gpt-4o,v2,4260918720,0.92,False,Dead-end: true ripe tomato tomato3 was discarded.,11,11,4,7,1,0,5.0,5.0,1.5454545454545454,2.5,38.6567166140012,22768,4871,27639
tomato,scene_05,scripts/baseline/logs/tomato/scene_05/knowno_tomato_20260616_165603.txt,2026-06-16 16:56:03,gpt-4o,v2,2208354638,0.92,False,Dead-end: true ripe tomato tomato4 was discarded.,15,15,4,11,2,0,5.0,5.0,1.5333333333333334,3.0,36.863027529994724,31247,6842,38089
tomato,scene_05,scripts/baseline/logs/tomato/scene_05/knowno_tomato_20260616_165642.txt,2026-06-16 16:56:42,gpt-4o,v2,65891643,0.92,True,success,16,16,6,10,1,1,5.0,5.0,1.4375,2.1666666666666665,48.43682162600453,33448,7416,40864
